wcaB	rcsB	rcsA	osmB	wcaA	rprA	wzb	wza	bdm	wzc	yjbH	yjbF	yjbE	ftsA	ftsZ	yjbG	sdiA	osmC	sra	csgE	csgD	csgF	ompR	csgG	rstA	cpxR	ompF	csgB	csgA	csgC	ompC	envY	yccA	rseB	ecnB	cheA	dsbA	rdoA	ftnB	tsr	rseA	yqjA	bacA	ydeH	motB	ppiD	cpxP	adrA	iraP	omrB
0.7047677	0.8622523	0.4227626	0.2791413	0.2758917	0.5449721	0.6857129	0.6509366	0.6462654	0.5954405	0.4918642	0.5823195	0.6223528	0.5569491	0.2353736	0.7662795	0.6812710	0.5461513	0.1045404	0.2973284	0.3895909	0.6512297	0.6609640	0.1732947	0.0000000	0.6201498	0.0267639	0.1851812	0.6503318	0.1591546	0.6011831	0.6850013	0.5584764	0.0909041	0.1385524	0.0645667	0.4770351	0.5502484	0.6126274	0.2138226	0.0395900	0.8720559	0.7410247	0.7058465	0.1505758	0.6810292	0.7432555	0.4583064	0.6257870	0.6431014
0.6560829	0.8399150	0.5010851	0.2018314	0.1985691	0.5513992	0.6603748	0.7591212	0.7498156	0.6047375	0.4939838	0.7307754	0.4705780	0.5387123	0.2547006	0.7365338	0.7028158	0.5823088	0.0859479	0.5200842	0.7000557	0.6239967	0.9157736	0.4770362	0.7956474	0.0000000	0.2027448	0.9974921	0.6622608	0.6447138	0.4883617	0.8288420	0.0529309	0.7129865	0.1054665	0.8184017	0.0261305	0.0396344	0.0031338	0.7197791	0.6159912	0.0432561	0.0403225	0.0208810	0.7604543	0.0442082	0.0177288	0.4653657	0.7115016	0.6047123
0.6671693	0.8176684	0.4537232	0.2213331	0.4611330	0.7555825	0.7226965	0.7299742	0.6921680	0.6025553	0.6786359	0.5785548	0.7057320	0.4876226	0.2769086	0.7120534	0.6611145	0.5700383	0.0629792	0.1371395	0.4372062	0.3592950	0.6086517	0.0744753	0.7272151	0.6114085	0.0000000	0.1832635	0.7844446	0.1086495	0.5320526	0.7531448	0.4717308	0.0610376	0.1360260	0.0798101	0.5075878	0.4565423	0.5471638	0.1685546	0.0537690	0.7464449	0.5396289	0.6054664	0.1669679	0.5724161	0.6424864	0.3846807	0.5012912	0.5694258
0.6741201	0.6528272	0.3658671	0.1974774	0.1974127	0.4765680	0.6040513	0.6725850	0.7078567	0.4911193	0.5756520	0.5659569	0.4711889	0.4200116	0.2473023	0.8285347	0.7376856	0.6035252	0.0778894	0.1573158	0.2732845	0.3186144	0.7105808	0.0496998	0.6720732	0.8445091	0.0069448	0.0000000	0.5199943	0.1063119	0.5365988	0.6402970	0.3542593	0.1109956	0.2132987	0.0571350	0.4487246	0.4808445	0.5428691	0.1887678	0.0456693	0.8202982	0.6073679	0.6314999	0.2361656	0.6536663	0.7273759	0.3948437	0.4706890	0.5690777
0.6968841	0.7730175	0.5487949	0.2789520	0.3003428	0.4979234	0.6502483	0.6528974	0.7283512	0.5197413	0.5713496	0.7453363	0.6638369	0.5508862	0.2382683	0.8243864	0.7783414	0.7281094	0.0838502	0.1703181	0.3060483	0.3429824	0.8258321	0.1096889	0.6253681	0.7752397	0.0186372	0.1704402	0.0000000	0.0969617	0.4617116	0.7031468	0.5659679	0.0630327	0.1251876	0.0812704	0.4216242	0.5904169	0.4802215	0.1285256	0.0281037	0.8450127	0.5551068	0.7178543	0.1691001	0.5943517	0.5492528	0.4377401	0.5195128	0.6043867
0.6729125	0.6784328	0.4099924	0.1754219	0.2796447	0.5537617	0.7869834	0.6183524	0.8375487	0.5431179	0.5282194	0.6197820	0.5075360	0.4368494	0.2318572	0.7282081	0.8449726	0.5113411	0.1093495	0.1653478	0.3553151	0.3667527	0.6918908	0.1088400	0.7898220	0.6802760	0.0154027	0.1230692	0.6337870	0.0000000	0.7469471	0.6176922	0.4033341	0.0969777	0.2062666	0.0711515	0.4616586	0.5988169	0.5491340	0.0954709	0.0173689	0.6492607	0.5953767	0.6716177	0.1448570	0.6805343	0.6626788	0.3667296	0.4356042	0.6742092
0.8354984	0.6335129	0.3476950	0.2107354	0.2350797	0.4206182	0.6949900	0.6071283	0.8550884	0.5211653	0.4745178	0.6370879	0.4267163	0.3843930	0.2261451	0.7283649	0.7919087	0.6116799	0.0978725	0.1967619	0.3083747	0.2442200	0.9182597	0.0821296	0.7385161	0.7403735	0.0189357	0.0726078	0.5148446	0.0945547	0.0000000	0.8243178	0.6349618	0.0767725	0.1712312	0.0457030	0.6212951	0.4610953	0.5183531	0.1956756	0.0252345	0.7834385	0.5157173	0.7686999	0.2860119	0.7895244	0.8119727	0.4051499	0.4871624	0.6754352
0.7070362	0.7371931	0.4029090	0.2467741	0.2304026	0.5308360	0.5594793	0.7125044	0.7371372	0.5843024	0.4948217	0.6408046	0.4728283	0.4111032	0.2007547	0.7222159	0.7905866	0.6195986	0.1000181	0.1132652	0.2876371	0.3074984	0.8322245	0.1115435	0.6940002	0.7629952	0.0009272	0.0825702	0.4969256	0.1021416	0.2372982	0.0000000	0.3691222	0.0725776	0.1727056	0.0782765	0.4186417	0.5978058	0.5789124	0.1349426	0.0189638	0.5884103	0.5864355	0.6138003	0.1993485	0.7013858	0.6713512	0.3204703	0.4632759	0.6758502
0.6004885	0.7012047	0.4500884	0.3171844	0.2475083	0.5757166	0.6206817	0.5758960	0.7154265	0.4710018	0.5568421	0.5970025	0.5539878	0.3950835	0.2443192	0.7182959	0.7121881	0.6197106	0.1018138	0.1279412	0.2189067	0.3203735	0.7935484	0.0825106	0.7398545	0.7624749	0.0234516	0.0969288	0.6801164	0.0967668	0.5850999	0.7141841	0.0000000	0.1264988	0.1513408	0.0667366	0.3867458	0.4276137	0.5753828	0.1730386	0.0392581	0.6905510	0.5564493	0.7230495	0.1411237	0.7993447	0.7658817	0.3916748	0.4805120	0.6154334
0.6683063	0.7568796	0.3180368	0.2466759	0.1987810	0.5203393	0.6303205	0.6345257	0.7458630	0.5923333	0.5167156	0.6108243	0.3854208	0.4470207	0.2347203	0.7053458	0.7060836	0.5564750	0.1205379	0.2310832	0.3101035	0.3078283	0.7388052	0.1133059	0.7272478	0.5898009	0.0059984	0.1339635	0.6155458	0.1153498	0.6175844	0.6730840	0.4699919	0.0000000	0.1366427	0.0914880	0.4582034	0.4722647	0.5998295	0.2243733	0.0494416	0.6836981	0.6519718	0.7168580	0.2431673	0.5672880	0.7466154	0.4326300	0.4127331	0.6766902
0.7286587	0.6826308	0.5092168	0.2620062	0.3120869	0.4852618	0.5643709	0.6466064	0.7152865	0.5831057	0.5005984	0.5962780	0.5419048	0.4090172	0.2602698	0.7323175	0.6134267	0.5180838	0.0970166	0.1304274	0.3084965	0.4218243	0.6351504	0.1022001	0.6266579	0.7034422	0.0139712	0.1360949	0.5402274	0.0842180	0.7145128	0.7067081	0.3860767	0.0921798	0.0000000	0.0590670	0.6247721	0.5357274	0.5742391	0.1448615	0.0325300	0.7736928	0.5692032	0.7811957	0.1467275	0.6678683	0.7246384	0.3947227	0.4163962	0.7380712
0.7773479	0.6598435	0.4887707	0.2712522	0.2800692	0.4429599	0.6609348	0.6573681	0.7481326	0.4831737	0.5050912	0.6824900	0.4654159	0.4784175	0.2421786	0.7254460	0.7251128	0.4868079	0.0695999	0.1717856	0.3130715	0.3877230	0.5662354	0.1012551	0.6798463	0.7614342	0.0173971	0.2130649	0.5752689	0.0847290	0.6456968	0.8158952	0.4757889	0.0774204	0.1506667	0.0000000	0.4527814	0.5033231	0.4873471	0.1923570	0.0206681	0.6650487	0.5199345	0.6469000	0.2950805	0.6693525	0.7942454	0.4863144	0.5047884	0.5971494
0.6245366	0.6924969	0.4225903	0.1945248	0.2710305	0.6067940	0.6649138	0.6212485	0.6831598	0.6192222	0.4718118	0.6519907	0.3614559	0.3172290	0.1976922	0.7280917	0.7545354	0.6498275	0.1041548	0.1398847	0.3496447	0.3146672	0.7032779	0.0700826	0.9454141	0.7144675	0.0258186	0.1271936	0.5642138	0.1054493	0.6821374	0.8191049	0.4190244	0.0595982	0.1843535	0.0679301	0.0000000	0.4748331	0.5997040	0.1752780	0.0554577	0.6741733	0.6065403	0.6696078	0.1777683	0.6969910	0.7069126	0.4454404	0.5819420	0.6472414
0.6742359	0.9851762	0.4343705	0.2541671	0.2847437	0.5352515	0.6267104	0.6792126	0.7143171	0.4755070	0.6162814	0.7611077	0.6573295	0.4806834	0.2235062	0.7877967	0.6846223	0.7313133	0.0976014	0.1855169	0.2653814	0.3708682	0.7391875	0.1038400	0.6447578	0.7469911	0.0106499	0.1277552	0.5519785	0.0759126	0.6082953	0.6236873	0.4535625	0.0936080	0.1437794	0.0664638	0.4830268	0.0000000	0.5223235	0.0942584	0.0379945	0.6961061	0.7737547	0.6520693	0.1947189	0.7103165	0.7256438	0.2775144	0.4527022	0.5467996
0.7502188	0.7485207	0.3611782	0.2784765	0.3846961	0.5119429	0.6972682	0.5841542	0.6146713	0.5705701	0.6530432	0.6382003	0.5521203	0.4057860	0.2425247	0.6272532	0.7321926	0.5646700	0.1012135	0.2127805	0.3572374	0.2943573	0.7376816	0.1087563	0.7241519	0.7572791	0.0240892	0.1323884	0.5508331	0.0978220	0.6474859	0.8304746	0.4784653	0.1180274	0.1359553	0.0435526	0.4241653	0.5393236	0.0000000	0.1916861	0.0761745	0.6979800	0.6242727	0.7522645	0.1465589	0.6555579	0.6414165	0.4561438	0.4499367	0.5093963
0.7338918	0.7950860	0.3306150	0.3117059	0.2830719	0.4546115	0.7241107	0.6964749	0.6347904	0.5187428	0.5261677	0.5879185	0.4042710	0.4060750	0.1681623	0.6743003	0.7692310	0.6588246	0.0910006	0.1597633	0.3130171	0.4208584	0.7317802	0.0780888	0.7557881	0.6881296	0.0111501	0.1391518	0.5147202	0.0514724	0.5994001	0.6806141	0.5003510	0.0642890	0.1304039	0.0418081	0.4262768	0.5150151	0.5252230	0.0000000	0.0439162	0.6627872	0.5089428	0.5808944	0.1396761	0.6286867	0.6070689	0.4762746	0.4641526	0.5663593
0.7310525	0.7256783	0.3076062	0.2003465	0.3827343	0.5560253	0.6280288	0.6263165	0.6122212	0.5330045	0.5784526	0.6150922	0.5077888	0.4129778	0.1941260	0.7573587	0.9202264	0.5970001	0.0730080	0.1357410	0.3290416	0.3716316	0.7564532	0.0988370	0.7696697	0.7346278	0.0184578	0.1463440	0.7241375	0.0905754	0.5470106	0.7649869	0.5039913	0.1217044	0.1383266	0.0417185	0.4908829	0.4699541	0.6835568	0.1943620	0.0000000	0.7668453	0.6740771	0.7635266	0.1945577	0.6559720	0.6139010	0.3251444	0.5462931	0.5466261
0.6568465	0.8669420	0.3930762	0.2594666	0.2077658	0.4661055	0.6274867	0.6472917	0.8293095	0.4401994	0.5051452	0.5433775	0.5365368	0.4864676	0.2214586	0.7113356	0.5777735	0.5622700	0.0767802	0.1759101	0.3589310	0.2767780	0.7062260	0.0978051	0.7417807	0.7321280	0.0066362	0.0670080	0.6047001	0.1351606	0.6923388	0.8172236	0.5603074	0.1170017	0.1563560	0.0641321	0.4722642	0.5791048	0.4384984	0.0708385	0.0624120	0.0000000	0.5422038	0.7034809	0.2111309	0.7776189	0.7213755	0.3096757	0.4643547	0.6015538
0.6676530	0.8116448	0.5384516	0.2494798	0.3058805	0.4038567	0.8025545	0.4992473	0.9062340	0.5339836	0.6131193	0.7266049	0.4757819	0.3805298	0.2865032	0.8681931	0.7230593	0.7022467	0.0606205	0.1537534	0.4003579	0.3776391	0.6729284	0.1087982	0.6382179	0.7304492	0.0208038	0.1324932	0.5382373	0.1341180	0.5741603	0.6704325	0.5363105	0.1119958	0.1789363	0.0722173	0.4353907	0.5578083	0.5533284	0.1730606	0.0263448	0.7535800	0.0000000	0.5778310	0.2030539	0.7006358	0.6916253	0.3810541	0.4523704	0.5708637
0.7112065	0.7811069	0.4605556	0.2231078	0.2422009	0.5683036	0.6932985	0.7360343	0.8560367	0.5888402	0.5359415	0.5642446	0.4600313	0.5380450	0.2502670	0.8463847	0.6549064	0.6743446	0.0957209	0.1441621	0.3564354	0.3301308	0.6008359	0.0618321	0.7091376	0.6700618	0.0162531	0.1983397	0.5812591	0.1397715	0.6710425	0.7812168	0.4430324	0.0568980	0.1656010	0.0749043	0.5069370	0.4875066	0.6672759	0.1535130	0.0731721	0.7724606	0.6043262	0.0000000	0.2214976	0.7010056	0.6639277	0.3249199	0.5662928	0.5773795
0.7257187	0.7410346	0.4740517	0.3489399	0.2874328	0.6147944	0.5885972	0.6385000	0.6006519	0.5021425	0.6061294	0.6774869	0.5812940	0.3941096	0.1902659	0.6100898	0.8678857	0.6468384	0.0801536	0.0948818	0.2960262	0.3393795	0.7292765	0.0780825	0.7679048	0.7160447	0.0115350	0.0653170	0.5631350	0.0810551	0.5192185	0.8048577	0.4395270	0.0596087	0.1416433	0.0424078	0.4515407	0.5663806	0.5349171	0.1094471	0.0794036	0.6643126	0.6478171	0.8259353	0.0000000	0.6180203	0.8411765	0.3331816	0.5238785	0.5547693
0.6758758	0.8821839	0.3431948	0.3050261	0.2779428	0.5805938	0.6135572	0.7372939	0.8678186	0.5586266	0.4876378	0.6233687	0.6105469	0.4113735	0.2458799	0.7561159	0.6890355	0.5823124	0.0564873	0.1142157	0.3004472	0.3578988	0.7602164	0.0608653	0.6177855	0.7739765	0.0080873	0.0902682	0.4713544	0.0710422	0.6305855	0.8411442	0.4403917	0.1043924	0.1793612	0.0601976	0.4767041	0.4096837	0.5166329	0.1495398	0.0267184	0.6976521	0.4930657	0.6421752	0.1573704	0.0000000	0.6736450	0.4437356	0.4593277	0.5710279
0.8117657	0.6856044	0.3834124	0.2648350	0.3471456	0.5432067	0.6827061	0.7067431	0.7002700	0.4884888	0.5865571	0.7081265	0.6019783	0.3609233	0.2748275	0.6624149	0.6614763	0.6904035	0.0890398	0.0917609	0.2410182	0.3139173	0.7133410	0.0780165	0.7319390	0.6798598	0.0159781	0.1257067	0.5922068	0.1134253	0.6215839	0.7458762	0.4806071	0.0591855	0.1323055	0.0828576	0.5663183	0.5922524	0.6459120	0.1303960	0.0319695	0.6719075	0.5535659	0.6949750	0.1780450	0.7001295	0.0000000	0.3362258	0.5191499	0.5796066
0.6295577	0.7151578	0.4780168	0.2903324	0.3048221	0.5935683	0.6723407	0.5700790	0.7868311	0.6165068	0.6025740	0.8068535	0.5836928	0.4295219	0.1827373	0.8745155	0.7092412	0.5580078	0.1082188	0.2461656	0.4034071	0.4752140	0.6394912	0.0945865	0.6958118	0.7651362	0.0183170	0.1188676	0.5722611	0.0801940	0.5761688	0.8075430	0.3697603	0.1100839	0.1211676	0.1422715	0.5133189	0.5928571	0.5529221	0.1754537	0.0404311	0.7735122	0.6892701	0.7557604	0.1210062	0.8521326	0.7407488	0.0000000	0.4382872	0.6034999
0.7311943	0.7471202	0.4367399	0.2453544	0.2635093	0.5519494	0.6448659	0.7824945	0.5712971	0.4745767	0.4821116	0.5239370	0.4215873	0.3657329	0.2183739	0.6522468	0.7896200	0.5887026	0.0833243	0.2217749	0.2611075	0.2538591	0.7883216	0.0757591	0.8245172	0.6739060	0.0109685	0.1069184	0.4970946	0.0642757	0.5574525	0.7885341	0.5103140	0.0982767	0.1870506	0.0468162	0.3640494	0.4277072	0.5264971	0.1302877	0.0573005	0.6741737	0.5279554	0.7527468	0.1877873	0.5961927	0.6676468	0.3744093	0.0000000	0.5668855
0.7535929	0.6371879	0.3329139	0.1985054	0.1986643	0.5729505	0.5764781	0.7273284	0.6430808	0.5724741	0.4262063	0.5499059	0.4932678	0.3618259	0.2095756	0.7898174	0.6739157	0.6047019	0.0837709	0.2203127	0.3242174	0.2838564	0.8361965	0.0823836	0.8216460	0.8096700	0.0373557	0.1265248	0.5548686	0.0872960	0.4970505	0.7150823	0.4323992	0.0538760	0.1388038	0.1027728	0.4863382	0.4819903	0.5969846	0.1021864	0.0363902	0.7418316	0.6436877	0.8765949	0.1527000	0.5988070	0.6598803	0.3574920	0.4686807	0.0000000
